"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"maptools","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-2",NA,NA,NA,NA
"MatrixModels","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5-0",NA,NA,NA,NA
"matrixStats","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.61.0",NA,NA,NA,NA
"mclust","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.4.9",NA,NA,NA,NA
"memoise","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.1",NA,NA,NA,NA
"merTools","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.2",NA,NA,NA,NA
"mime","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.12",NA,NA,NA,NA
"minqa","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.4",NA,NA,NA,NA
"ModelMetrics","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.2.2",NA,NA,NA,NA
"MuMIn","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.46.0",NA,NA,NA,NA
"munsell","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.0",NA,NA,NA,NA
"mvnfast","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.7",NA,NA,NA,NA
"mvtnorm","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-3",NA,NA,NA,NA
"nloptr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.0",NA,NA,NA,NA
"nortest","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-4",NA,NA,NA,NA
"numDeriv","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2016.8-1.1",NA,NA,NA,NA
"openssl","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.6",NA,NA,NA,NA
"palr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"parallelly","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.30.0",NA,NA,NA,NA
"pbkrtest","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.1",NA,NA,NA,NA
"pemisc","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.3.9004","pemisc","PredictiveEcology","development","6d35d212d55e04d9457a54937ab039462419e638"
"peutils","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.0","peutils","PredictiveEcology","development","d40d97c594c01014101c1edacd48bcace89dcb97"
"pillar","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.7.0",NA,NA,NA,NA
"pkgconfig","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.3",NA,NA,NA,NA
"pkgload","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.4",NA,NA,NA,NA
"plogr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.0",NA,NA,NA,NA
"plyr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.6",NA,NA,NA,NA
"png","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-7",NA,NA,NA,NA
"polyclip","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.10-0",NA,NA,NA,NA
"polynom","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4-0",NA,NA,NA,NA
"praise","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.0",NA,NA,NA,NA
"prettymapr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.2",NA,NA,NA,NA
"pROC","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.18.0",NA,NA,NA,NA
"processx","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.5.2",NA,NA,NA,NA
"prodlim","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2019.11.13",NA,NA,NA,NA
"progressr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.10.0",NA,NA,NA,NA
"PROJ","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.0",NA,NA,NA,NA
"proj4","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-11",NA,NA,NA,NA
"promises","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.0.1",NA,NA,NA,NA
"proxy","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4-26",NA,NA,NA,NA
"pryr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.5",NA,NA,NA,NA
"ps","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.0",NA,NA,NA,NA
"PSPclean","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.2.9000","PSPclean","ianmseddy","development","3c3f0e7082e14c111a607c3ba803abf0396343e6"
"purrr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.4",NA,NA,NA,NA
"qs","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.25.3",NA,NA,NA,NA
"quadmesh","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.0",NA,NA,NA,NA
"quantreg","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.88",NA,NA,NA,NA
"quickPlot","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.7.9002","quickPlot","PredictiveEcology","development","8bb3b6691d20165bb772197dd54de193848be9cc"
"R.cache","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.15.0",NA,NA,NA,NA
"R.methodsS3","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.1",NA,NA,NA,NA
"R.oo","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.24.0",NA,NA,NA,NA
"R.utils","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.11.0",NA,NA,NA,NA
