"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"latticeExtra","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6-29",NA,NA,NA,NA
"lazyeval","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.2",NA,NA,NA,NA
"lifecycle","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.1",NA,NA,NA,NA
"linprog","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9-2",NA,NA,NA,NA
"lintr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.1.9000","lintr","jimhester","HEAD","af386b97ef72071156a69a1356570fe6c6651e40"
"listenv","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.8.0",NA,NA,NA,NA
"lme4","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-28",NA,NA,NA,NA
"lobstr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.1",NA,NA,NA,NA
"logging","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.10-108",NA,NA,NA,NA
"lpSolve","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.6.15",NA,NA,NA,NA
"lubridate","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.0",NA,NA,NA,NA
"magic","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6-0",NA,NA,NA,NA
"magick","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.7.3",NA,NA,NA,NA
"magrittr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.2",NA,NA,NA,NA
"map","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.3.9001","map","PredictiveEcology","development","a7bf56142ae4301d76e885243212e387c6fef1f1"
"maptools","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-2",NA,NA,NA,NA
"MatrixModels","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5-0",NA,NA,NA,NA
"matrixStats","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.61.0",NA,NA,NA,NA
"mclust","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.4.9",NA,NA,NA,NA
"memoise","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.1",NA,NA,NA,NA
"merTools","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.2",NA,NA,NA,NA
"mime","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.12",NA,NA,NA,NA
"minqa","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.4",NA,NA,NA,NA
"MuMIn","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.43.17",NA,NA,NA,NA
"munsell","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.0",NA,NA,NA,NA
"mvnfast","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.7",NA,NA,NA,NA
"mvtnorm","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-3",NA,NA,NA,NA
"nloptr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.0",NA,NA,NA,NA
"nortest","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-4",NA,NA,NA,NA
"numDeriv","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2016.8-1.1",NA,NA,NA,NA
"openssl","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.6",NA,NA,NA,NA
"palr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"parallelly","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.30.0",NA,NA,NA,NA
"pbkrtest","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.1",NA,NA,NA,NA
"pemisc","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.3.9003","pemisc","PredictiveEcology","development","2183a8c68035f9c739c680f285f6b44528f8f03b"
"peutils","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.0","peutils","PredictiveEcology","development","d40d97c594c01014101c1edacd48bcace89dcb97"
"pillar","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.7.0",NA,NA,NA,NA
"pkgbuild","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.3.1",NA,NA,NA,NA
"pkgconfig","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.3",NA,NA,NA,NA
"pkgload","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.4",NA,NA,NA,NA
"plogr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.0",NA,NA,NA,NA
"plyr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.6",NA,NA,NA,NA
"png","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-7",NA,NA,NA,NA
"polyclip","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.10-0",NA,NA,NA,NA
"polynom","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4-0",NA,NA,NA,NA
"praise","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.0",NA,NA,NA,NA
"prettymapr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.2",NA,NA,NA,NA
"prettyunits","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.1",NA,NA,NA,NA
